"","word","vowel","stress","mean_pitch","mean_amplitude","min_time","max_time","duration","mean_tilt"
"1","Abaco","v1","antipenultimate",218.86,0.129353491924881,1,1.12,0.12,0.198577945002566
"2","Abaco","v2","antipenultimate",180.23,0.0537812721282896,1,1.07,0.0700000000000001,0.137946282597754
"3","Abate","v1","penultimate",231.07,0.0857300896210647,1,1.04,0.04,0.162196989228814
"4","Abate","v2","penultimate",214.77,0.0807114390676597,1,1.17,0.17,0.186016485848477
"5","Acacia","v1","penultimate",262.95,0.100055130521289,1,1.05,0.05,0.167561934487055
"6","Acacia","v2","penultimate",212.99,0.0581320972627633,1,1.14,0.14,0.185366480891282
"7","Acaro","v1","antipenultimate",258.74,0.105286944189405,1,1.09,0.0900000000000001,0.203398346114422
"8","Acaro","v2","antipenultimate",198.35,0.0429601527993454,1,1.08,0.0800000000000001,0.144470899851056
"9","Acero","v1","antipenultimate",247.76,0.106100912355683,1,1.16,0.16,0.196299720535564
"10","Acero","v2","antipenultimate",212.21,0.0435280424739318,1,1.07,0.0700000000000001,0.0925649827477462
"11","Aceto","v1","penultimate",237.56,0.0766599201788881,1,1.05,0.05,0.138517532791182
"12","Aceto","v2","penultimate",301.45,0.0660421170311982,1,1.15,0.15,0.0793665805950732
"13","Alluce","v1","antipenultimate",277.31,0.160906505963831,1,1.1,0.1,0.201138904609708
"14","Alluce","v2","antipenultimate",187.21,0.047213289793296,1,1.08,0.0800000000000001,0.0720759724359956
"15","Ameba","v1","penultimate",226.99,0.121758475766496,1,1.06,0.06,0.186278493093707
"16","Ameba","v2","penultimate",194.44,0.068013224900823,1,1.14,0.14,0.0946408597612246
"17","Ameno","v1","penultimate",223.59,0.0664288925887291,1,1.06,0.06,0.166682846741324
"18","Ameno","v2","penultimate",197.39,0.0474579185785696,1,1.16,0.16,0.0882319465901323
"19","Asilo","v1","penultimate",250.48,0.0633778828017117,1,1.09,0.0900000000000001,0.137820496580927
"20","Asilo","v2","penultimate",209.2,0.043466619745277,1,1.14,0.14,0.0676659668355359
"21","Asino","v1","antipenultimate",253.21,0.121476978340269,1,1.19,0.19,0.189049353959275
"22","Asino","v2","antipenultimate",192.09,0.0364064232585153,1,1.08,0.0800000000000001,0.0706329054108654
"23","Attico","v1","antipenultimate",228.83,0.158827104373158,1,1.11,0.11,0.194275107919498
"24","Attico","v2","antipenultimate",204.74,0.029396534221816,1,1.06,0.0599999999999998,0.0555494827973368
"25","Balena","v1","penultimate",250.44,0.169215755927503,1,1.06,0.0599999999999998,0.148813253556491
"26","Balena","v2","penultimate",229.22,0.0872804851620725,1,1.16,0.16,0.0852669993623829
"27","Balera","v1","penultimate",202.64,0.125953005436821,1,1.06,0.0599999999999998,0.143178049341423
"28","Balera","v2","penultimate",186.01,0.0687439236060383,1,1.2,0.2,0.116328428506962
"29","Bolide","v1","antipenultimate",201.37,0.0380242800366377,1,1.18,0.18,0.113981909840645
"30","Bolide","v2","antipenultimate",168.72,0.027128046041134,1,1.07,0.0699999999999998,0.0552688155723041
"31","Bolina","v1","penultimate",252.49,0.0755626888949863,1,1.08,0.0800000000000001,0.104274988370523
"32","Bolina","v2","penultimate",199.76,0.0351792046579898,1,1.16,0.16,0.0586513467316659
"33","Bufala","v1","antipenultimate",234.93,0.0476548462556418,1,1.13,0.13,0.107930445268458
"34","Bufala","v2","antipenultimate",194.77,0.0864588457602156,1,1.05,0.05,0.155103138335611
"35","Bufalo","v1","antipenultimate",182.87,0.0392169524761894,1,1.08,0.0800000000000001,0.0909954026430652
"36","Bufalo","v2","antipenultimate",179.33,0.0559650011246533,1,1.05,0.0499999999999998,0.144895957639548
"37","Calamo","v1","antipenultimate",279.56,0.114239369492244,1,1.17,0.17,0.185133289063964
"38","Calamo","v2","antipenultimate",182.69,0.0778904209679389,1,1.06,0.06,0.153466926591546
"39","Calata","v1","penultimate",235.3,0.122287171524228,1,1.07,0.0700000000000001,0.150796290170855
"40","Calata","v2","penultimate",209.12,0.154282737307367,1,1.19,0.19,0.192778376908116
"41","Calcagno","v1","penultimate",225.03,0.0612543730707712,1,1.08,0.0800000000000001,0.137292703105212
"42","Calcagno","v2","penultimate",202.05,0.058733831236525,1,1.17,0.17,0.186711742922965
"43","Calcare","v1","penultimate",244.68,0.0890880468152136,1,1.07,0.0699999999999998,0.140898474321843
"44","Calcare","v2","penultimate",222.71,0.0868016176253639,1,1.23,0.23,0.180531587332177
"45","Camice","v1","antipenultimate",233.48,0.0855820844316456,1,1.11,0.11,0.193223346227634
"46","Camice","v2","antipenultimate",164.4,0.0189839084487104,1,1.06,0.06,0.0562816292832459
"47","Camicia","v1","penultimate",278.09,0.0652848196159444,1,1.05,0.0499999999999998,0.129555319066363
"48","Camicia","v2","penultimate",194.82,0.0355813208835092,1,1.09,0.0900000000000001,0.0620166049480406
"49","Canale","v1","penultimate",234.15,0.0932445101716837,1,1.07,0.0700000000000001,0.147292103398249
"50","Canale","v2","penultimate",211.33,0.0981792973363082,1,1.21,0.21,0.196276758138524
"51","Canapa","v1","antipenultimate",270.08,0.105503507962148,1,1.15,0.15,0.190775142137015
"52","Canapa","v2","antipenultimate",179.91,0.0627751533204748,1,1.06,0.06,0.168462384735479
"53","Candido","v1","antipenultimate",267.65,0.0826272192162252,1,1.14,0.14,0.186319696178312
"54","Candido","v2","antipenultimate",182.47,0.0438032038574995,1,1.06,0.06,0.0587963858837327
"55","Candito","v1","penultimate",298.39,0.0900542641411417,1,1.05,0.05,0.137840078817958
"56","Candito","v2","penultimate",228.68,0.0285621104184546,1,1.14,0.14,0.0597006585736621
"57","Celebre","v1","antipenultimate",270.75,0.0890464317040758,1,1.14,0.14,0.131984535864753
"58","Celebre","v2","antipenultimate",189.12,0.110166305165331,1,1.06,0.06,0.0945240630798412
"59","Celeste","v1","penultimate",268.72,0.0875989132612701,1,1.06,0.06,0.0924679442811955
"60","Celeste","v2","penultimate",216.19,0.072452870661293,1,1.15,0.15,0.125921843234124
"61","Ciclico","v1","antipenultimate",249.51,0.0439671700085195,1,1.09,0.0900000000000001,0.0573938617906255
"62","Ciclico","v2","antipenultimate",194.89,0.0558703375331579,1,1.1,0.1,0.0651964394775128
"63","Ciclista","v1","penultimate",283.92,0.0405240035412784,1,1.05,0.05,0.0574834161602874
"64","Ciclista","v2","penultimate",199.1,0.0296178519751606,1,1.08,0.0800000000000001,0.059426652608536
"65","Codice","v1","antipenultimate",277.72,0.0991653896658423,1,1.19,0.19,0.141590260583702
"66","Codice","v2","antipenultimate",190.27,0.0311036239586554,1,1.07,0.0700000000000001,0.052157266695648
"67","Codino","v1","penultimate",284.96,0.0842789338900745,1,1.08,0.0800000000000001,0.119060175202036
"68","Codino","v2","penultimate",228.7,0.0385634650472697,1,1.19,0.19,0.059393541150329
"69","Collega","v1","penultimate",260.89,0.118204435533892,1,1.04,0.04,0.119418049732622
"70","Collega","v2","penultimate",197.71,0.0597180373567012,1,1.12,0.12,0.0799727771312889
"71","Collera","v1","antipenultimate",281.9,0.116214244693271,1,1.14,0.14,0.158460882321951
"72","Collera","v2","antipenultimate",184.01,0.120419694673329,1,1.1,0.0999999999999999,0.0987589300970409
"73","Colonia","v1","penultimate",265.97,0.118425931824021,1,1.1,0.0999999999999999,0.111495223054346
"74","Colonia","v2","penultimate",160.97,0.0358531285362071,1,1.1,0.1,0.146073363480123
"75","Colore","v1","penultimate",264.15,0.0866645814721068,1,1.05,0.0499999999999998,0.113640014628929
"76","Colore","v2","penultimate",238.91,0.0859167564915375,1,1.13,0.13,0.114455078686173
"77","Comico","v1","antipenultimate",232.26,0.0652792876552933,1,1.16,0.16,0.139005340634536
"78","Comico","v2","antipenultimate",185.88,0.035760634561783,1,1.06,0.06,0.0593679265988715
"79","Comizio","v1","penultimate",294.79,0.069567588337477,1,1.07,0.0700000000000001,0.124763491709911
"80","Comizio","v2","penultimate",244.73,0.0387762416486096,1,1.11,0.11,0.0621806958907155
"81","Concilio","v1","penultimate",258.5,0.0845638861794401,1,1.07,0.0700000000000001,0.10982239004144
"82","Concilio","v2","penultimate",240.42,0.0370597293712687,1,1.16,0.16,0.0543329017411036
"83","Concime","v1","penultimate",262.48,0.0543158803631118,1,1.09,0.0899999999999999,0.101266028039671
"84","Concime","v2","penultimate",194.69,0.0368583194682484,1,1.13,0.13,0.063033451364915
"85","Conico","v1","antipenultimate",224.07,0.0752460826798038,1,1.17,0.17,0.154482413425501
"86","Conico","v2","antipenultimate",178.17,0.0370874265005284,1,1.06,0.06,0.0675847889854318
"87","Coniglio","v1","penultimate",225.92,0.0767162614523747,1,1.07,0.0700000000000001,0.10222256256581
"88","Coniglio","v2","penultimate",202.13,0.0422893707809186,1,1.18,0.18,0.0822196150266879
"89","Decade","v1","antipenultimate",242.19,0.0768729599072707,1,1.14,0.14,0.10701730995474
"90","Decade","v2","antipenultimate",170.9,0.0418857047087964,1,1.06,0.06,0.129222076870032
"91","Decano","v1","penultimate",230.31,0.108795134378209,1,1.06,0.06,0.0775109272608148
"92","Decano","v2","penultimate",216.33,0.056949692763086,1,1.21,0.21,0.19304704124966
"93","Delirio","v1","penultimate",204.62,0.11734247254209,1,1.08,0.0799999999999998,0.0664574423471316
"94","Delirio","v2","penultimate",243.94,0.052592195377562,1,1.2,0.2,0.0581215273773031
"95","Delizia","v1","penultimate",251.61,0.0626837810483034,1,1.05,0.0499999999999998,0.0821892493249436
"96","Delizia","v2","penultimate",217.94,0.0339387325719634,1,1.11,0.11,0.0644695406575173
"97","Edema","v1","antipenultimate",196.67,0.0814776238156861,1,1.16,0.16,0.102449700025488
"98","Edema","v2","antipenultimate",178.48,0.0909776380817689,1,1.07,0.0699999999999998,0.092559993699378
"99","Edera","v1","antipenultimate",239.99,0.0944021566002487,1,1.15,0.15,0.11685796212454
"100","Edera","v2","antipenultimate",171.55,0.0754626863974994,1,1.11,0.11,0.0957368294824611
"101","Erede","v1","penultimate",278.77,0.0859563403725591,1,1.12,0.12,0.105813071134601
"102","Erede","v2","penultimate",254.95,0.0756165089998828,1,1.2,0.2,0.120154522423738
"103","Eremo","v1","antipenultimate",234.96,0.109928897965313,1,1.22,0.22,0.108372075760524
"104","Eremo","v2","antipenultimate",187.52,0.0640298766006223,1,1.1,0.0999999999999999,0.10593629085303
"105","Esodo","v1","antipenultimate",192.26,0.0455853616743264,1,1.14,0.14,0.106663283177456
"106","Esodo","v2","antipenultimate",172.76,0.0446407533308152,1,1.08,0.0799999999999998,0.0930849767032653
"107","Esordio","v1","penultimate",289.91,0.0527572282580783,1,1.08,0.0799999999999998,0.0972439850935932
"108","Esordio","v2","penultimate",229.94,0.0554905931915582,1,1.16,0.16,0.126115594240603
"109","Estero","v1","antipenultimate",254.16,0.0698420908139074,1,1.1,0.1,0.120895559113424
"110","Estero","v2","antipenultimate",196.14,0.0576704144268892,1,1.07,0.0699999999999998,0.103891645673247
"111","Esteta","v1","penultimate",242.97,0.0873124959641319,1,1.05,0.05,0.0728063838995536
"112","Esteta","v2","penultimate",248.7,0.0795190408106675,1,1.16,0.16,0.110314693155438
"113","Fedele","v1","penultimate",269.9,0.147385446010964,1,1.08,0.0800000000000001,0.0965633337814557
"114","Fedele","v2","penultimate",226.18,0.0976129708975539,1,1.21,0.21,0.0916675529073737
"115","Federa","v1","antipenultimate",273.03,0.0831230965201688,1,1.19,0.19,0.134970512766522
